location,mean_lat,mean_lon,listing_count
dha defence,28.644856001746906,70.67805449211085,21020
bahria town karachi,25.01732162073022,67.28047523020662,8518
bahria town rawalpindi,33.517034058409926,73.10544018788069,8465
bahria town,31.954273173558395,73.9336241008015,6413
gulistan-e-jauhar,24.92261574472961,67.13345187630674,5751
gulshan-e-iqbal town,24.910741328193755,67.08550383621548,4418
north nazimabad,24.941171598377036,67.04690693394623,3013
gadap town,25.028775761169676,67.09280369384477,2770
scheme 33,24.95548272190233,67.13852336835276,2744
e-11,33.694559784003665,72.9799576998022,2730
i-8,33.668191089764115,73.07331822582367,2586
g-13,33.64870525828702,72.96354938934466,2411
north karachi,24.968855754356394,67.06321884984906,2385
federal b area,24.927140295753013,67.06865273815404,2324
cantt,26.319359201455974,68.66858002539597,2033
johar town,31.466078847794673,74.28009919954916,1841
clifton,24.820355407077425,67.02399103506542,1834
f-11,33.68382432961647,72.99005457574732,1773
g-11,33.66898250853507,72.9992605384792,1611
f-10,33.69081913433145,73.00786762583176,1593
nazimabad,24.96866558567435,67.07920791663871,1431
jamshed town,24.870363637262443,67.05495366181749,1326
bani gala,33.7133401700821,73.16263986703612,1218
g-15,33.63086147203658,72.92538183346635,1203
malir,24.924876457478486,67.20097290505164,1162
adiala road,33.54744142513084,73.05511687935514,1070
f-8,33.71200324881086,73.04071643015918,1068
gulraiz housing scheme,33.56281910628766,73.107146286414,1029
askari,31.493315133913047,74.41692887210473,1012
gulberg,32.41778815080808,73.81827267855556,990
i-10,33.647226802712545,73.03760243068825,988
allama iqbal town,31.5012031831038,74.27022585975334,973
ghauri town,33.619047886530616,73.12972124582767,882
f-7,33.72037483191733,73.05638292337542,871
state life housing society,31.445689822505937,74.40234497781472,842
wapda town,31.44089172010204,74.25798835924745,784
satiana road,31.374806304619423,73.12885356190289,762
airport housing society,33.5893495565088,73.13055371100135,739
soan garden,33.56240152800281,73.15566826915612,711
al rehman garden,31.59255009608511,74.30882507761703,705
satellite town,33.62480878998566,73.07195733736012,697
pwd housing scheme,33.571112877223975,73.14500901323345,634
g-10,33.67780350633388,73.01562607954173,611
eden gardens,31.4266077329,73.14370545761668,600
chaklala scheme,33.65013705911371,73.13669540961538,598
korangi,24.829051318643216,67.11784073562814,597
f-6,33.72993724452543,73.07451094084746,590
d-12,33.701280915343645,72.94825571792096,582
model town,31.4883975402069,74.31448991274138,580
paragon city,31.53090732937931,74.45633414063794,580
g-9,33.68827194161818,73.03407094776364,550
bahria orchard,31.317750394652908,74.21783811973734,533
b-17,33.68209749887832,72.82227865944866,526
eden valley,31.436061016443514,73.15458507696653,478
samanabad,31.529235371581397,74.22669956844186,430
pak arab housing society,31.43175284931925,74.34811710051643,426
gulshan abad,33.53058099308252,73.06128497315534,412
media town,33.560859114477616,73.12599071952735,402
pakistan town,33.5753237057789,73.14330662474875,398
eden,31.45022633502551,74.31334355903061,392
sabzazar scheme,31.52198584161039,74.26350014864936,385
military accounts housing society,31.421125521099473,74.2842028890576,382
muslim town,32.80276376081365,73.17756012706037,381
dha 11 rahbar,31.388940631542553,74.26004249553192,376
h-13,33.637132365212764,72.97261051085107,376
khayaban-e-sir syed,33.63878423117333,73.04810368882667,375
samundari road,31.352041016912565,73.07085514502732,366
canal road,31.435258992994505,73.1532967401099,364
madina town,31.494519978547483,73.15786378321229,358
cbr town,33.55937433145299,73.14183361549858,351
township,31.45835552922414,74.30642178143678,348
askari 14,33.542977946213874,73.06761512075146,346
gulshan-e-ravi,31.550864631268436,74.28358719132743,339
bath island,24.835666330504452,67.02863805777449,337
valencia housing society,31.404421394404764,74.25712848732144,336
fechs,33.57182380050633,73.17481226025316,316
liaquatabad,24.945770203714286,67.09570837415873,315
lalazaar garden,31.509070386624206,74.24678988531846,314
lake city,31.355404796928102,74.25208979098039,306
eden orchard,31.484528,73.0850660130719,306
shalley valley,33.59754079205388,73.01414470690236,297
wapda city,31.504105539031144,73.21527201674739,289
lahore medical housing society,31.581876710714283,74.46359330357143,280
park view villas,31.453295117445254,74.20184390872264,274
national police foundation o-9,33.57090482760147,73.13247518738007,271
bhara kahu,33.73771327901887,73.17966229766037,265
punjab coop housing society,31.458849338461537,74.37333034999999,260
eme society,31.436842714179686,74.21282016011719,256
d-17,33.65911251205645,72.85936233366935,248
f-17,33.631822495614756,72.88006116045082,244
range road,33.598608188436216,73.01786774559672,243
canal garden,31.394818008347105,74.15066775599173,242
peshawar road,33.60296544232365,73.02869570622407,241
four season housing,31.34318348277311,73.06478430722689,238
harbanspura,31.574490721525425,74.4219634534322,236
afshan colony,33.59527121334746,73.02358573402542,236
misryal road,33.60077538570213,72.99869522034042,235
others,31.606215238193833,73.02926784198239,227
farooq-e-azam road,33.64674776,73.08989847,224
al-kabir town,31.34190670214286,74.215371199375,224
korang town,33.579048566486485,73.13964302563062,222
civil lines,25.26063536945946,67.38472759666668,222
defence road,32.41774207481982,73.68640744734235,222
new karachi,24.99883661316742,67.06258918045249,221
garden town,31.59721815287671,74.21934544863014,219
mehmoodabad,24.853826415525113,67.07454064210046,219
navy housing scheme karsaz,24.89371303779816,67.10448599041284,218
garden west,24.874120478394495,67.01644564302752,218
frere town,24.84104617316514,67.03740286642203,218
khayaban-e-amin,31.369505301851852,74.26992277398148,216
islamabad highway,33.61852562050926,73.1176021249074,216
university road,24.9554115604717,67.13771448509434,212
gt road,32.08747986858491,74.08769853226416,212
westridge,33.613208341913875,73.02074812363635,209
tariq gardens,31.419736172524274,74.25445428291262,206
pia housing scheme,31.447581678325122,74.27925739778325,203
jinnah avenue,25.166430497860695,67.3559436857214,201
fazaia housing scheme,25.66529632155779,67.9284898318593,199
faisal town,31.474560413181816,74.22428767616162,198
peoples colony no 1,31.408049304517764,73.10756913345178,197
shah faisal town,24.879752350937498,67.16984222927083,192
jubilee town,31.407587002041886,74.18110853350785,191
punjab govt employees society,31.433960905,74.28603860878947,190
lalazar,32.606452157741934,73.59370250784947,186
divine gardens,31.50202102808989,74.4140727247191,178
shahra-e-faisal,24.8709797739548,67.10038826502824,177
jamshed road,24.880911022931034,67.04180113632184,174
khalid bin walid road,24.874905404655173,67.05731853045977,174
diplomatic enclave,33.728844297777776,73.11963458192983,171
bismillah housing scheme,31.598386054588236,74.48082093588235,170
naval anchorage,33.57198361464285,73.2005048872619,168
tajpura,31.557543026666668,74.40136173660606,165
saeed colony,31.43445059067901,73.1288249737037,162
defence view society,24.83894994596273,67.07975132068323,161
bin qasim town,24.853259119627328,67.30277352639752,161
shaheed millat road,24.87704481389937,67.06919789817611,159
g-8,33.69583327455696,73.04838394987343,158
abul hassan isphani road,24.94293421,67.09883741594936,158
marghzar officers colony,31.5035573224359,74.24792236814103,156
g-14,33.64279297270968,72.94883519290323,155
canal bank housing scheme,31.57245604915033,74.41299390006537,153
ferozepur road,31.454910728639458,74.3488753770068,147
shershah colony - raiwind road,31.410075352482757,74.2225691806207,145
saddar town,24.865433094551726,67.01771108434482,145
central park housing scheme,31.32141792277778,74.38130712895833,144
khayaban colony,31.427294344014083,73.1359113537324,142
canal view,31.47822556028369,74.2540615035461,141
chakri road,33.51524302934783,72.96697332086957,138
multan road,31.457973896376814,74.20843595043478,138
cavalry ground,31.500273864264706,74.36756631632353,136
officers colony,31.42958899253731,73.14278201492537,134
i-14,33.6108336318797,72.9673358780451,133
pcsir housing scheme,31.456538697751938,74.26433917891472,129
nasheman-e-iqbal,31.423289899224805,74.25943465116278,129
sea view apartments,24.7918379975969,67.04466809379845,129
e-7,33.727409007812504,73.04758103124999,128
gulberg town,24.9224397475,67.0676851815625,128
architects engineers housing society,31.443497661338583,74.25947628401575,127
college road,31.487267024126986,74.2358120195238,126
raiwind road,31.383566389752065,74.22852032661157,121
citi housing society,31.503479479495798,73.0724964235294,119
gizri,24.820922577777775,67.04513947675214,117
izmir town,31.41960866666667,74.18705629914531,117
bedian road,31.441617076896552,74.45761483836208,116
main canal bank road,31.47531070782609,74.3084204941739,115
i-9,33.655546301929824,73.05622403701754,114
dhok kashmirian,33.643,73.08328389285715,112
gulzar-e-quaid housing society,33.600332338303566,73.13097812375,112
canal fort ii,31.58517600427273,74.49919704463636,110
green town,31.44600011009174,73.82835880733946,109
tulsa road,33.56759465330275,73.05286806908256,109
